timestamp,open,high,low,close,volume
1719878400000,62860,63259,61780,62093,4365815580
1719964800000,62093,62250,59350,60185,8254022490
1720051200000,60185,60465,56688,57035,11859875545
1720137600000,57035,57523,53314,56603,13708704460
1720224000000,56603,58490,56002,58204,4254055068
1720310400000,58204,58420,55710,55840,5735014732
1720396800000,55840,58195,54228,56696,11552793440
1720483200000,56696,58316,56257,58030,6770749712
1720569600000,58030,59471,57127,57714,6626967970
1720656000000,57714,59662,57016,57312,7560995712
1720742400000,57312,58514,56513,57861,6176170368
1720828800000,57861,59870,57711,59182,3734811828
1720915200000,59182,61388,59170,60756,5706446804
1721001600000,60756,64900,60602,64696,9781290708
1721088000000,64696,65365,62350,65027,11128358960
1721174400000,65027,66119,63800,64049,7875354943
1721260800000,64049,65133,63200,63967,6135317759
1721347200000,63967,67368,63281,66632,9077365069
1721433600000,66632,67600,66202,67103,3812416512
1721520000000,67103,68372,65738,68150,6858463424
1721606400000,68150,68468,66543,67494,6409166750
1721692800000,67494,67720,65372,65922,8785154028
1721779200000,65922,67105,64903,65365,6545461302
1721865600000,65365,66206,63378,65768,9712323890
1721952000000,65768,68213,65695,67881,7292290072
1722038400000,67881,69400,66608,67902,11198600094
1722124800000,67902,68338,67027,68241,3884673420
1722211200000,68241,70137,66361,66758,11646623229
1722297600000,66758,66959,65265,66170,7790191294
1722384000000,66170,66832,64502,64616,7552776140
1722470400000,64616,65634,62218,65341,11391736184
1722556800000,65341,65576,61172,61459,12798341670
1722643200000,61459,62154,59822,60682,8074483420
1722729600000,60682,61088,57150,58132,9709666138
1722816000000,58132,58278,48914,53988,32733431616
1722902400000,53988,57056,53917,55990,11256336036
1722988800000,55990,57762,54518,55110,9754185870
1723075200000,55110,62743,54705,61670,12306999870
1723161600000,61670,61733,59488,60815,8586622450
1723248000000,60815,61460,60223,60894,3077725520
1723334400000,60894,61880,58264,58703,6090252516
1723420800000,58703,60692,57555,59316,11602471841
1723507200000,59316,61577,58380,60559,8109090360
